id,name,business_id,user_id,stars,date,text,useful,cool,funny
84,OzaOza,84,84,3,2015-10-25,"Desert and main dishes are unacceptable for a かいせき place I would say. Main dish: rice with very small amount of dried fish and miso soup. Honestly even a 50 dollar per person kaiseki place would at least put some 温泉玉子 inside the main dish to make it look richer... dessert: some cake\, with parts already cut\, brought out of a fridge and cut into pieces. I would suspect it's not freshly made at all and it might be bought from some markets lol. I would give this place a 4.5 stars for previous dishes. But a 3 with these two unacceptable ones added.",57,1,2
85,Omakase,85,85,5,2018-1-23,"Omakase is a gem. The food is great\, but the service was the cherry-on-top of a great night. Literally the best service I have ever experienced. It's much better than other fine dining restaurants i've tried.\n Me and my girlfriends ordered the Yamato ($200) and a bottle of sake. Our bill with tip came out to $300 per person. Pricey- but you get what you pay for. The quality is over the top amazing! Shout out to Chef Jackson\, Chef Tora\, Gary & Kiki because they made our entire experience so memorable. From the moment we walked in\, they took care of us with such detail and genuine kindness. \n Overall\, I absolutely loved it here. I would 100% recommend this restaurant to others.",3,0,0
86,Hinata,86,86,3.5,2017-3-14,"Okay\, this is not a cheap place to be\, but you will get what you paid for. They are only open for two sittings not because they are lazy or they don't care about money. They spend HOURS getting ready (picking the fish\, setting up menu based on the best ingredients\, and getting these ingredients prepared). You can taste the difference. There is nowhere to hide mistakes or poor quality ingredients.\nYou can't go wrong with their tasting menu\, and I will recommend going for their supplement menu.\nWe also added the Monk Fish Liver\, and you can taste the freshness of it. It has good texture\, no s aftertaste.\nTheir chefs and servers are very friendly\, they made it a very Meh memorable experience in a positive way.",3,0,0
87,"Wako Japanese Restaurant",87,87,5,2016-3-20,"An amazing sushi restaurant\, and def worthy of its Michelin one star. My friend and I wanted to celebrate our birthdays together\, and chose Wako as our celebration restaurant. We made reservations on a weekday\, and when we came in got seated immediately. There wasn't too many people so it was nice to enjoy the food\, see the chefs at work\, and have good convos. My friend and I sat at the sushi bar\, so we were able to see the real deal\, and have our sushi made by the owner himself!! The owner is super sweet\, explains all the dishes he presents\, and is an amazing chef!",2,2,0
88,"Atelier Crenn",88,88,5,2017-7-2,"This place is definitely hard to rate... I think a solid 4.5 but I will round up to a 5! The restaurant is absolutely amazing in terms of creativity\, presentation\, uniqueness\, artistry\, and the like... it makes you feel like you are really experiencing something very special! The menu come in the form of a poem so you will have a great time trying to guess what the next course will be. There were multiple courses (around 14 ish) and each course was a perfectly sized bite or taste of something delicious. I think there was much more gastronomy here than it other restaurants in sf (reminds me of my experience at guy savoy.) \nHowever\, a couple of things prevents me from giving this place a solid 5 Star. This place was by far the most creative place I have been in sf but\, compared to my experience at Coi\, I don't think the flavors of any of the dishes were like WOAH! To be fair\, between Coi and here\, this place was more consistently good whereas Coi has hit or miss dishes. However\, where Coi hit it really hit. Not sure what it is about this place but in every dish a particular flavor or texture prevented the ingredients from reaching their full potential (for example the crunchiness and flavor of the pastry tart and strong flavor of the Stone fruit of the uni geoduck tart prevented the uni flavor from really shining through.) Thus\, I would probably say these places end up being around equal overall.\n Another thing is my bf has dietary restrictions which I mentioned when making the reservation. While the restaurant called to check what foods are ok and what are not\, we still ended up being served a dish with an ingredient on his no eat list. That was a bit unfortunate and the restaurant was extremely apologetic... even going so far as to making other dishes extra special which I greatly appreciate. However\, this experience was different from when I told Coi about my bf's restriction and they had prepare totally different entrees and dishes ahead of time to accommodate. \nAll in all\, I think this is a must try in sf and I would rate it above Coi because of its creativity. However\, I think there is room to grow!!",100,0,2
89,Khai,89,89,5,2018-7-4,"WOW!\n What an amazing dining experience.  I'm Vietnamese\, super picky and LOVED this restaurant.\nKhai Duong\, chef and owner used to be the owner of Ana Madera.  I feel so lucky to be able to taste the art he created last night. \nThe restaurant seats about 20 people and is a 10 course omakase style presentation\, where the chef picks what you eat.  Any food allergies or special requests like vegetarian needs to tell them 48 hours in advance since he literally prepares each and every dish for you.\nWhat a very special treat.  Thank you so much Anh Khai and Roberto for taking such great care of our group!",436,272,5
90,"Keiko à Nob Hill",90,90,5,2018-3-29,"Wowowow! Definitely one of my favorites! Only downside is the parking since it's very hard to find street parking and only parking garages are available... if they're not full. Came here for my graduation dinner and had a party of 5. Online reservations only showed up to parties of 4 so I called and asked. They were very nice and told me to just put down party of 5 in the notes so they can prepare in advance. When we arrived\, we had our own private room!! Service was also very attentive even though we were separated from the main dining room.\nMy favorite of the menu has to be the foie gras in espresso reduction! This was amazing and never would I have thought to pair foie gras with coffee! Even though the reduction was very bitter\, I didn't mind. It just went so well together. \nMy second favorite is the uni with carrot purée. Even though the whole dish was very mushy\, the sweet carrot went really well with the uni.\nThe most surprising course was the cheese course. I was expecting the normal cheese and charcuterie board but instead out came a peach! The white peach with mascarpone cheese was surprisingly delicious. I also very much enjoyed the dessert. The strawberry sorbet went well with the yogurt ice cream. I was glad the white chocolate wasn't too sweet. \nOverall\, a very pleasant experience and I would come back!",331,2,0
91,Quince,91,91,5,2016-11-12,"It's overpriced. And worth every penny. When you consider food quality + the experience\, McDonald's is overpriced. Ingredients matter and so does satiation. In America\, we don't talk about this much. We like to get bang for our buck and too often fall into the traps of thinking we are getting a bargain.\nI'd rather save time\, money and calories on the best of the best. It just so happens that Quince makes it worth it. My tastebuds are new and fresh. I've been working on becoming very selective about what I eat.\nSo we went for the caviar. In a world where there's so much fraud - including ingredients - if this caviar is faux\, I will say they did a damn amazing job of making it seem real. Same with the lamb. We didn't even drink wine. Omg. I don't even know where it would have gone (and we had three bright eyed kids we knew we had to wake up to early in the morning). The service - another area of making time to visit and spend money on\, so it better be worthwhile - was impeccable. This is a perfect experience\, albeit long\, for two travelers who needed a mini-vacation for a chaotic period of life. Bravo!",79,0,1
92,"Roka Akor",92,92,4,2016-1-8,"Quality food and modern ambiance\, a bit pricey for what its worth.\nI would recommend Wagyu with bone marrow!",0,0,0
93,"Kiss Seafood",93,93,4,2018-3-27,"Naka san has been my culinary idol for the past 17 years at this lovely little spot in Japan Town. In the craze of Americanized sushi (go somewhere else\, not Kiss) with fancy rolls stuffed to the brim so you can't really taste anything except mayonnaise and sweetness but it gives you the benefit of claiming that you love sushi\, Kiss Seafood is a gem of authentic sushi as a Japanese art form. Simple\, delicate\, and only the most exquisite ingredients. Don't go to Kiss and order sushi if you are not into eating raw food. And please don't go there and order California roll or edamame. Let this true gentleman artist perform his art. It is truly special.",92,0,0
94,"An Japanese Restaurant",94,94,4,2018-11-7,"This is definitely one of the better sushi bars in SF. So fresh ... hard to decide what I enjoyed most. \n Also the fact that the mall is a busy sea of people and this place is a tranquil oasis makes it even more enjoyable",3,0,0
95,Spruce,95,95,5,2018-7-2,"All around delicious. For how nice it looks inside\, it isn't a huge space which adds to the overall appeal of eating here. You know that you are at a fine dining establishment\, however\, it doesn't feel as if you and every other person in the city are trying to get reservations adding to the unappealing tourist aspect of some high-end restaurants. But make note\, this place is absolutely high-end. You can tell by the time and effort put into making each dish that is apparent from the first bite!",2,0,0
96,"Alexander's Steakhouse",96,96,3,2015-7-23,"Alexanders' Steakhouse disappointed me quite a bit with mediocre appetizers\, and their fish course without wowing me with their steak or dessert courses. For the price\, I think I would have preferred a less sophisticated and more gluttonous experience at House of Prime Rib. That being said\, it is a much classier establishment that most steakhouses and their private dining rooms were excellent for large groups. Furthermore\, the service here is wonderfully formal and the neighborhood has become increasingly upscale. While the filet mignon was good here\, the remainder of their menu items were subpar and dragged the experience down for me.",11,0,3
97,"Sons & Daughters",97,97,5,2018-10-7,"This is probably one of the prettiest meals I've ever had. I came for an early birthday dinner and the service was impeccable. Some of the servers addressed me by name and wished me a happy birthday which I thought was very nice.\nI liked everything I ate (except this hush puppy thing that tasted too burnt)\, but nothing stood out as holy crap that's amazing. So while it was an extremely pleasant experience\, it didn't blow my mind.\nAlso\, I wish they let you glance at the menu ahead of time because I never listen to what the servers say so I never know what I am eating.",117,1,1
98,Boulevard,98,98,4,2016-5-28,"Good service. Food is also quite flavorful. I particularly loved the lobster bisque. My friends and I asked them to split the bowl in 3 so we could all have our own sample\, and they were awesome about it. Service is on point and food good. Its always nice when a restaurant isn't overly crowded\, and that's exactly how it is during lunch. We didn't feel rushed and the waitstaff was exceptional. I even got a birthday dessert treat. That's always a plus!!",3,1,0
99,"Eight Tables by George Chen",99,99,5,2016-3-15,"We've been to a handful of Michelin three stars. Eight Tables by George Chen honestly topped quite a few of them in terms of the dining experience. \n The restaurant is hidden in the back of an alley in Chinatown\, but once you step in\, you will find out that it is a spacious and elegantly-decorated\, luxurious venue with an army of well-trained staff who dress way better than you and are ready to pour your wine very generously. \n During the meal\, Chef Chen came to our table\, greeting us and giving us a brief introduction about his concept on the dishes. I liked how he blended traditional Chinese sayings or concepts with a modern cooking method. For example\, the first dish 'Jiu Gong Ge' represents the nine essential flavors of Chinese cuisine. I always think the first dish of a fine dining experience should be carefully set up because it will define the tone for the entire night. This first dish is like an opening of an opera or an introduction of the author of a book. From 'Jiu Gong Ge' and its presentation\, I could immediately tell I would be guided through the journey of an authentic Chinese meal with a modern twist. One of the desserts was a sponge-cake-liked bite that I had when I grew up in China. It instantly brought back my childhood memories and gave a nostalgic feeling. \n Our night was also made by Eight Tables' delightful and knowledgeable sommelier. The way he described the pairing wines made us feel entertained\, welcomed\, but also respected. Obviously\, compared to him\, we know very little about wine. However\, he managed to channel his passion for wine in a very humble way which put us at ease.\n In the end\, we were offered a tour of the kitchen to conclude this top-notch experience. The endeavor that Chef Chen and his staff put in to make their guests feel welcomed and well taken care of was impeccable. I highly recommend Eight Tables and look forward to coming back again soon.",26,0,0
100,Jardiniere,100,100,1,2015-11-22,"The restaurant itself is beautiful\, unfortunately their food and customer service is below par for fancy restaurant. It states on their website they take very good care of their customers\, but this statement is false. They could care less for a customer like me. I have been here several times and each time was worse than the previous. On my last and final visit to this restaurant\, my work bag and personal items were stolen from the valet service of Jardiniere. Here is my horrible experience at this restaurant from the food to the customer service. The awful meal and service: \n When we arrived at the restaurant\, the service was subpar. I ordered a glass of wine and it must have taken 15 minutes before it was served. The pour was skimpy\, less than a quarter of the glass. \n I ordered the duck entree and it was extremely dry and bland. The dish was tasteless\, which was very surprising coming from a so-called nice restaurant. My friend\, whom I was with\, had a similar experience with his dish as well. \n I ordered an espresso after the meal. We had to ask the waiter three times before it was brought. When the waiter finally brought the beverage\, it was a cup of coffee. I had clearly stated three times I wanted espresso. \n The stolen items by Jardinere Valet Service: \n After work\, I went directly to this restaurant. There was no parking on the streets so I valet parked my car with the restaurant. I placed my work bag and personal duffle bag in the trunk of my car. When I got home after dinner\, the items were gone. I immediately called the restaurant and George Perezvelez\, the manager offered to help. He promised to inform the owner of the restaurant and stated I will hear back from Traci Des Jardins within a day. \n George also stated he would be off work the next two days\, but will follow up. I returned to the restaurant the next day to take pictures of the valet sign to verify it had no disclaimer. To my surprise\, I saw George at the restaurant. Not only did he lie about being gone\, the owner never returned my email. Not to my surprise\, I never heard back from this restaurant again. I tried to contact them several times\, but I was given no response. I filed a police report with details of the incident. If anyone wants to see a copy of the police report\, I would be happy to share. \n Jardinere doesn't even deserve a one star. Needless to say\, the absent of professionalism speaks for itself. I will never support this restaurant again or any of the Jardinere affiliations. There are many great choices of restaurants in Hayes Valley\, Jardinere is not one of them.",230,2,5
101,Tacorea,1,101,4,2014-7-10,"This is one of my favorite places in San Francisco. The food is great. The menu is filed creative fusion food and they execute it very well.  My favorite is the California Burrito.",372,87,8
102,"Golden Boy Pizza",2,102,5,2018-11-2,"Wow. Like...WOW! This place is AMAZING. AMMMMAZZZING!!!",302,13,61
103,"Hot Sauce and Panko",3,103,5,2017-1-2,"Crisped to perfection wings and the seasoning was just right. Also got the chicken sandwich and even though I'm not a fan of wasabi\, the sauce was a really nice pairing with the sandwich.",31,40,73
104,"El Farolito",4,104,5,2016-1-22,"Best burrito in the US! Who would have thought that title would belong to a hole in the wall San Francisco restaurant?! It lives up to its title. I was highly impressed. I've been there twice and both times there was a wait but the line moved quickly. CASH ONLY! So back to the burrito... Oh. My. God. Each bite was the perfect bite.",21,55,12
105,Volcano,5,105,2,2015-9-24,"I had been looking forward to coming here for months because Japanese curry is one of my favorite comfort foods\, but the food ended up being pretty disappointing. It's really a travesty that there aren't more Japanese curry places in San Francisco. My meal tasted uninspired\, and it was just made much worse by the laughable portion of vegetables on the plate. It looks like a pretty large portion when you first get it\, but since half the plate is literally just sauce\, it's not even that filling of a meal. It will do if you really have a craving for Japanese curry\, but I wouldn't go out of my way to come here again.",462,114,26
106,"The Bird",6,106,3,2015-7-4,"Got the spicy fried chicken sandwich ($8) and curly fries ($2.50). Sandwich was decent\, chicken was juicy\, batter was flavorful but not freshly fried. Overall\, it was a good chicken sandwich but not extraordinary. Probably slightly better than chick fil a\, but more expensive. The curly fries though\, were terrible. Skimpy portion and tasted exactly like Arby's fries and not freshly fried as well. Service was fine. It's an order and seat yourself type of place. Decent amount of indoor and outdoor seating as well. Worth a try but don't get too excited.",23,260,57
107,"Pacific Eatery",7,107,5,2018-4-12,"Excellent food for a great price. Quick and easy to hit on a lunch break or while touring the city. Grab it Togo and eat by the water\, that's what I love to do! Will keep coming back.",397,0,50
108,"Super Duper Burgers",8,108,2,2017-8-25,"Fries\, a mini burger\, a super burger and one chicken burger. All four of us were keen on super duper but was sadly disappointed as it was super greasy. Patty was not very flavourful and nothing really stood out about the burger. We were comparing it to In-N-Out and unfortunately this was a miss. Lemonade was super sour and was a finish to the meal.",3,91,62
109,Yamo,9,109,3,2015-12-29,"Inexpensive Chinese food. You get what you pay for. The beef and garlic noodle was tasty but where's the beef. It was 90% noodle and 10% beef. We also got the mango chicken and one other dish that wasn't memorable. It was decent and probably good for a weekday lunch. Portions are a bit on the small side but for $6/each what can expect. They were sold out of a lot of the seafood too. I'd prefer Panda Express but if you're in the area and want cheap eats. This is your spot.",67,0,43
110,Fayala,10,110,3,2014-1-1,"Fayala is split between a quick ordering counter (downstairs) and a buffet (upstairs). I didn't realize this when I came in\, so I ended up ordering a falafel bowl at the counter and saw that I would have preferred to serve myself upstairs (as it seemed like there were more vegan options). I don't have a lot to say about my falafel bowl (made vegan)\, it didn't wow me. If this restaurant closer to my office\, I might eat there now and again during lunch out of convenience\, but I wouldn't go out of my way for average/basic Mediterranean.",174,175,63
111,"Sam Wo Restaurant",11,111,2,2017-11-18,"We ordered the egg rolls\, the wonton soup\, chow mein\, string beans\, and sesame chicken. I have to say I was super underwhelmed by all of the dishes. The chow mein had an interesting curry flavor that really caught us off guard. The sesame chicken\, wonton soup\, and string beans were a bit bland. The egg rolls were alright. Definitely disappointed.",345,58,93
112,"Street Taco",12,112,2.5,2018-6-26,"The place has a kind of prison feel\, which is not really their fault but due to all the homeless dudes around Haight who cause businesses to make sure everything can be hosed down easily and have strict bathroom policies and stuff.  I guess that sounds racist against homeless people but  I think it's true\, probably.  Sad!",327,211,85
113,Tselogs,13,113,2.5,2015-12-23,"I thought the food here was only okay. I got a combo plate with the sweet pork belly and the milk fish. We also had some lumpias to share. Food came out pretty fast but everything is already prepared ahead of time so I wouldn't have expected any longer. ",255,201,60
114,DragonEats,14,114,2.5,2015-1-26,"I was really excited to try this place\, seeing all the 5 star reviews. I ordered the duck bun mee\, which was really disappointing\, there was a little bit of duck\, and enough cilantro to keep Chipotle going for a week! Seriously\, the first bite into my sandwich was cilantro and bread. The sandwich didn't even contain carrots! Just cilantro\, jalapeños\, and duck (as an afterthought). If I come back again\, I'll try the 5 spice chicken\, which people seem to enjoy.",431,237,69
115,Bite,15,115,5,2015-12-9,"5 stars! I love Bite! I'm about to order on Yelp right now! The only complaint I have is that some of the sandwich names don't make sense lol The Caribbean (tuna? Nah) and the New Yorker (New Yorkers don't ask for sourdough bread for sandwiches). I want to help them and redo those two sandwiches specifically. They need a different direction. Bite\, call me! With that being said\, I LOVE THIS PLACE! Haha! No one will be disappointed in the quality.",381,116,92
116,"Tacos Club",16,116,3,2014-3-13,"At 1 am on a Friday night after drinking in the area\, this food will hit the spot. It's not very pricey and feels like nothing more really than fast casual Mexican. The tacos were good but nothing I'll likely repeat. The carnitas was easy better than the carne asada\, which was extremely dry. Chips and salsa was necessary of course\, but nothing more than some dried out chips and pico. Again\, for late night drunk food\, it's a solid option for sure.",294,179,71
117,Grubbin,17,117,4,2017-8-11,"The shop may be small but the sandwiches sure aren't! My boyfriend and I stopped by today for a late lunch/early dinner and ordered the Grubbin' It and the Spicy Mouth Waterin' - both on dutch crunch bread. Both came out piping hot (I got a bit too excited and pretty much burned myself on my Spicy Mouth Waterin' but it was worth it!) First off\, the bread is perfect and it such a great textural element against the meatiness of the sandwiches. And the sauces - wow - so bright in flavor and they just really tie everything together!",258,262,85
118,"Tu Lan",18,118,3,2017-8-12,"The place was not too clean. The chopsticks had weird stains on them and we had to ask for replacements. The water tasted a little funky. If I am to just rate the food\, I would give it 4 stars.",254,207,12
119,"Mae Krua",19,119,4.5,2015-1-16,"Very tasty curry. This is an interesting setup with four food stall options inside one small room. We took a browse through and decided to stick with Mae Krua\, our original choice. I ordered the Panang with chicken which was delicious and the medium fairly spicy. I would have loved a bit more curry relative to rice\, otherwise it was delicious.",125,277,58
120,"The View Cafe",20,120,3.5,2018-3-8,"I didn't realize the cafe is INSIDE a UCSF building. However\, the security officer was nice enough to understand we just came for the cafe\, and just told us to sign in on the sign-in sheet. Prices are fair\, the food is pretty good - it's basically like eating home-food\, nothing fancy. The seats are a little uncomfortable\, but it's understandable considering this is a cafe in a school.",56,157,13
121,"Crepes A Go Go",21,121,1,2015-11-9,"They used to make the crepe wraps fresh\, now they are ore made and the guy making them picked a booger and grabbed some cheese. Unfortunately\, they've gone down the easy end.",339,37,95
122,Tempest,22,122,3.5,2017-2-7,"Cheap drinks and great food. Layout is terrible though\, so it ends up being impossible to walk around in when it's crowded. I think some would find it seedy\, but I couldn't have been more pleased with the service and the fairly priced drinks. They also had a pool table.",143,95,30
123,"Kebab King",23,123,4,2015-9-12,"This place reminded me of India tbh. Great food but not the cleanest. ",109,101,58
124,"Urban Ritual",24,124,1,2017-12-10,"If you do not serve hot tea\, please do not say yes when taking the order\, only to turn around a make a snide remark how you do not actually serve hot tea after you give me the wrong drink.",350,208,33
125,Taboun,25,125,4,2016-1-22,"Very nice food\, awesome service. Owner was very courteous and made us understand the details of menu items\, he also suggested us which could be faster to serve as we were in a hurry. Food was very very tasty\, hummus and falafel were amazing.",345,90,69
126,"Hops & Hominy",26,126,3,2018-5-17,"Unfortunately our entrees (we got the pork chop and the burger) were pretty bland\, as were the mashed potatoes. We weren't there particularly late (8:15pm) but they had sold out of our first two choices (fried chicken and ribs) so be aware of that possibility when you're looking at the menu.",39,100,74
127,Barbacco,27,127,2.5,2017-6-2,"I was very disappointed with this restaurant. I read so many good reviews. The bruschetta was so hard I couldn't even chew it. My risotto had a nice flavor to it but it wasn't cooked right. I understand it's supposed to be al dente but it was hard and tasted raw.",28,155,14
128,Barcha,28,128,2,2014-6-15,"The place is very beautiful and the menu looks so promising\, however the real thing was a bit disappointing. The chopped salad was with no taste at all\, included lots of lettuce very little tomatoes\, olives and one tiny piece of avocado.",134,99,39
129,"Sauce - Belden",29,129,2,2016-11-7,"I was so disappointed by this place- super expensive\, small portions\, and nothing amazing.  I would not come back here. The food was way too expensive for the portion size.",323,60,40
130,"Per Diem",30,130,2,2017-2-9,"This place has pretty decent food and drinks but the wait staff could use some serious work. My date and I hung out at the bar while we waited for a table during busy dinner hours.  I ordered a well-made old fashioned and my date ordered the Falcon (which I cannot find on their current menu). The drinks and the friendly bartender entertained us while we waited. After about 15 minutes\, the host called us over to let us know our table was ready and then quickly retracted her statement because she said that the party before us suddenly and inexplicably returned to our table. This was the first of a series of odd\, innattentive occurences. For an appetizer\, we ordered the barratta cheese with almonds\, which was both delicious and sweet. I would be interested in returning but have to say it will not be anytime soon. There are just too many places around that also serve good food but are not lacking in customer service.",53,123,53
131,"Lao Table",31,131,4,2018-1-8,"It is pretty pricey as it is a pretty standard dish ($17.95 before tax and tip) - but given the generous portion size + generous prawn/noodle ratio I would say its pretty fair! Will definitely be back and try something else next time!",164,16,54
132,"RM 212",32,132,2,2018-12-27,"Disappointed given the high ratings here on Yelp. Located in Chinatown\, the restaurant itself was tight seating. Service was fine. There is a decent selection of cocktails\, along with an asian fusion menu.",59,286,33
133,Tropisueño,33,133,4.5,2015-10-1,"How much I've enjoyed my afternoon here! Great food and very comfortable atmosphere. Alejandro the bartender is very knowledgeable. All drinks are made with local ingredients. I had a fresh watermelon mojito and a mango one. They were both spicy in a really creative awesome way. Super nice tequila and great presentation. I definitely recommend this place for a nice Mexican meal with a bad ass drink menu!",106,128,16
134,"Akiko’s Restaurant",34,134,3,2015-6-3,"Great little place I found\, once again\, thru Yelp.  I sat at the bar which is the best place to watch the chefs do their magic with fresh fish.  The food was great (if expensive) and the fish cut to perfection.  The only reason I am not giving this place 4 stars it is because it does not pack their fish in cellophane after usage\, meaning that some fish touch others or at touched by a chef trying to get to another chefs.  The best sushi places I have been to\, from Tokyo to San Francisco\, protect their fish as if it were gold.",93,270,22
135,"Caffe Macaroni",35,135,3.5,2016-9-3,"Just ok! Food was nothing exciting. We had prawns. Good service. The place is a little shabby.",195,40,55
136,"La Fusión",36,136,4,2018-6-15,"hey have amazing food! Long lines though. Make reservations. Tried their sangria\, seafood ceviche\, lomo saltado\, and seafood pot pie. I didnt like lomo saltado too much. it was kinda generic. But everything else was amazing!",406,39,49
137,"Takoba SF",37,137,5,2017-7-27,"What an awesome\, tucked away spot for sushi! The tempura roll was by far my favorite. Even though it was a tempura roll\, that didn't mean that this whole roll was overly fried. The fried shrimp was just a part of this roll. And the California roll was perhaps the best C roll that I've ever had.",456,188,67
138,"Fog Harbor Fish House",38,138,5,2018-2-29,"Great food\, lovely view\, fun location\, a bit pricey (as expected). Right in the heart of Pier 39\, on the second floor\, gives a lovely view of the piers and the Bay. It can get crowded (mostly with tourists)\, but even as an SF resident I think this place has some of the best seafood (at relatively reasonable prices\, considering the location\, and quality and quantity of food) in town. I've been to many other fancier seafood places all around SF and I usually find their portions small and their prices even higher than here!",105,39,16
139,"Izakaya Yoki",39,139,4,2015-3-2,"Good sushi. Loved the tiger roll. Place is nice and clean. Plenty of tables. Even the presentation was good.",358,214,0
140,"The Pink Elephant Alibi",40,140,4,2017-2-14,"Bottomless Mimosas. What else do you need?!! Had a great time overall: 4.5 stars for mimosas\, 4 stars for food ",44,228,21
141,Marlowe,41,141,2,2018-9-26,"I had high hope but I am disappointed. My boyfriend and I visited on a Friday at 6:30pm and got seated right away at communal table. We ordered the beef tartare for appetizer. It was very good and good portion for two people. My pork chop came next after 20 minutes. To my disappointment\, it was dry and lacked flavor. For $32\, I expected better.",179,237,28
142,Hogwash,42,142,2,2016-2-10,"Bf and I came here for a late lunch/ early dinner meal. I got the only vegetarian option and he opted beef bratwurst which came with bacon and overall the food was alright but the portion is rather sad. The sandwiches don't come with a side of anything so $12 per sandwich is rather extreme. Would I come here again? NO!",294,281,97
143,Bask,43,143,1,2018-8-28,"That's $200 and two hours of my life I'll never get back. Foie was rancid\, octopus tasted mealy and frozen\, pan con tomate tasted like canned tomatoes. Service was slow and the staff was clearly overwhelmed with Friday night service. We won't be back.",490,214,26
144,"Archive Bar & Kitchen",44,144,4.5,2016-6-12,"Good spot for happy hour weekdays between 3-6 pm but it gets crowded so come early.",285,59,35
145,"Barbarossa Lounge",45,145,3,2015-9-16,"Spacious\, trendy lounge\, with good music and good selection of drinks. I could give a 4* but we had a bad experience with service so even 3* is pretty generous. We were at the bar ordering our drinks\, few of us ordered our drinks\, got it and paid for it. Few others were still deciding. The bartender was probably making someone else's drink in the meanwhile. But by the time he finished making the drink\, he didn't know who ordered. So he tried to put it on us. Then he refused to take our actual order and was giving us faces. Lame.",267,198,90
146,Delarosa,46,146,5,2014-3-8,"Excellent food and good beer selection. Same establishment as baretta. Quality is there with a smart casual feel. Highly recommend if you are looking for good food and outside seating.",362,276,85
147,"E&O Kitchen and Bar",47,147,2.5,2017-6-5,"I don't get why people rave about this spot. It was mediocre at best. It's like this restaurant wanted to serve Asian food\, then couldn't decide on the exact cuisine so it shoved 4 different countries onto the same menu.  Weird.",433,293,30
148,"The Barrel Room",48,148,4,2017-9-23,"If you're in the mood for some great wines by the glass\, then look no further. The Barrel Room is one of those places that curates some really interesting wines from around the world and offers more flights than most places in San Francisco. The space itself is split into three areas: the retail shop\, the bar/kitchen and there's a private space downstairs (which is rad). The retail shop is chock full of obscure varietals alongside some of the great producers so check it out if you have a moment.",357,5,6
149,Aquitaine,49,149,5,2018-7-16,"A stumbled upon gen experience. Everyone in our group of five had a beautiful meal. The waiter was friendly\, and relaxed. We ordered champagne for starters and his recommendation from their list of small producers was excellent\, Jaquesson. The charcuterie plates was excellent. Beet salad was delicious. After wonderful main courses the desserts finished off a great meal. TRY THE ILE FLOTTANTE!",325,156,36
150,Matko,50,150,5,2015-9-22,"Really great Korean fast casual. Clean and modern. As a vegetarian\, I got half and half salad and soba and then half egg and tofu with all veggie toppings. In hindsight I would have gotten purple rice with tofu and mushroom - probably a better mix but all was great. Make sure to get the gochujung sauce nearby.",151,157,11
151,"Wayfare Tavern",51,151,5,2018-1-25,"So\, how is fine dining in the City\, you ask?! Well\, you know... it ain't all that bad! Wayfare Tavern is an excellent option to consider if you are looking to partake in such festivities. And\, what better time to explore this restaurant than during San Francisco Restaurant week? Welp\, that's exactly what I did! I came here with a couple of friends on the last day of SF Restaurant Week and left very satisfied. We saved some bucks without having to compromise food options or quality.",100,209,43
152,"Kokkari Estiatorio",52,152,5,2018-5-27,"Overall\, this was a really wonderful experience.  Definitely deserves the spot as one of SF's top 100. The meal was well-paced\, the ambiance is really nice and service was just impeccable.  Including tax and a good tip\, the above meal was about $120. Well worth it. Highly recommended and I will definitely come back here.",88,190,29
153,Hakkasan,53,153,2,2018-2-26,"This place is sooo OVERRATED!!! Every single time I came here for dinner and drinks I always left feeling so disappointed! Overcharged meal! Taste is NOT GREAT at all!",352,265,77
154,Trestle,54,154,5,2016-1-2,"Wow. Excellent meal. I realize that their rotating menu likely means you'll not be able to have the exact meal I had\, but the risotto might have been the best risotto I've ever had. Umami to the Nth degree. Drinks are fantastic - DEEP beer menu\, which is nice for a 'fancy' place. They still had quite the wine selection for those who prefer that. Awesome place for a pair or small group.  Highly recommended.",97,166,59
155,"The House",55,155,4,2017-10-17,"The best San Fran trip ever!! Super happy that I finally get to experience The House\, during my recent visit to SF with my cousin and her family who lives in Daly City. This is her favorite restaurant. Prior to visiting she gave me a list of restaurants and suggestions and after seeing the photos and Yelp reviews I told her lets go to The House!!",229,201,55
156,"International Smoke",56,156,5,2016-12-6,"Every thing that we ordered was delicious. The decor and atmosphere was welcoming. The wait staff were super friendly and patient. The signature alcoholic drinks tasted and looked delicious. Only down side they wouldn't split a party of 7 bill and the gratuity was not added to the bill. Other than that\, I would dine here again.",108,134,47
157,"The Fly Trap",57,157,3,2016-12-25,"Pretty good spot for good food tapas style. The hummus which comes with crispy bread and 3 different kinds was good. Enjoyed the pistachio meatballs\, braised lamb abgoosht (stew) and goat cheesecake. Good but not great overall.",186,138,73
158,"Bluestem Brasserie",58,158,5,2016-1-3,"A good brunch option downtown that takes reservations (and you don't have to book a month in advance!). I wasn't as impressed with our dishes as I was with dinner\, but overall the food was good!",460,150,61
159,BIX,59,159,5,2017-10-30,"The drinks were spectacular (and I'm picky). We came here late Friday night for drinks and jazz and enjoyed it very much. The space is not too big\, which makes it cozy. The bar staff are all well dressed and courteous. Floor service wasn't great but with everything else\, we didn't care too much. Great for friends gatherings or dates!",50,1,1
160,Cotogna,60,160,5,2016-9-14,"I was thoroughly impressed with the food\, service\, and ambiance of Cotogna. The menu is expensive\, but a real treat.",3,3,7
